Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
40,Benign Mimicry,0.3,GAT,91.26%,11717/12839,1122,55.7976
40,Benign Mimicry,0.3,HYBRID-DGCNN,94.07%,12078/12839,761,28.8557
40,Benign Mimicry,0.3,HYBRID-GAT,89.06%,11435/12839,1404,84.447
40,Benign Mimicry,0.3,LSTM,92.31%,11852/12839,987,53.6775
40,Benign Mimicry,0.3,SGAN,99.00%,12711/12839,128,15.2651
40,Benign Mimicry,0.4,CNN,99.40%,12762/12839,77,13.9632
40,Benign Mimicry,0.4,DGCNN,96.19%,12350/12839,489,28.5892
40,Benign Mimicry,0.4,GAT,91.18%,11707/12839,1132,55.2926
40,Benign Mimicry,0.4,HYBRID-DGCNN,93.80%,12043/12839,796,29.1108
40,Benign Mimicry,0.4,HYBRID-GAT,87.51%,11235/12839,1604,86.7073
40,Benign Mimicry,0.4,LSTM,89.56%,11498/12839,1341,54.593
40,Benign Mimicry,0.4,SGAN,98.74%,12677/12839,162,15.0654
40,Call Reordering,0.05,CNN,99.84%,12818/12839,21,11.9077
40,Call Reordering,0.05,DGCNN,99.81%,12815/12839,24,26.4778
40,Call Reordering,0.05,GAT,99.55%,12781/12839,58,49.9679
40,Call Reordering,0.05,HYBRID-DGCNN,99.81%,12815/12839,24,25.9438
40,Call Reordering,0.05,HYBRID-GAT,99.63%,12791/12839,48,1274.8363
40,Call Reordering,0.05,LSTM,99.56%,12783/12839,56,50.4573
40,Call Reordering,0.05,SGAN,99.83%,12817/12839,22,13.0405
40,Call Reordering,0.1,CNN,99.86%,12821/12839,18,10.4042
40,Call Reordering,0.1,DGCNN,99.80%,12813/12839,26,23.06
40,Call Reordering,0.1,GAT,99.49%,12773/12839,66,43.25
40,Call Reordering,0.1,HYBRID-DGCNN,99.81%,12815/12839,24,22.4654
40,Call Reordering,0.1,HYBRID-GAT,99.61%,12789/12839,50,70.5971
40,Call Reordering,0.1,LSTM,99.59%,12786/12839,53,40.0266
40,Call Reordering,0.1,SGAN,99.85%,12820/12839,19,11.1633
40,Call Reordering,0.15,CNN,99.88%,12823/12839,16,9.73
40,Call Reordering,0.15,DGCNN,99.77%,12809/12839,30,21.8078
40,Call Reordering,0.15,GAT,99.45%,12768/12839,71,41.1811
40,Call Reordering,0.15,HYBRID-DGCNN,99.80%,12813/12839,26,20.8953
40,Call Reordering,0.15,HYBRID-GAT,99.63%,12792/12839,47,66.2137
40,Call Reordering,0.15,LSTM,99.44%,12767/12839,72,37.3642
40,Call Reordering,0.15,SGAN,99.80%,12813/12839,26,10.5876
40,Call Reordering,0.2,CNN,99.88%,12823/12839,16,10.5045
40,Call Reordering,0.2,DGCNN,99.76%,12808/12839,31,23.3099
40,Call Reordering,0.2,GAT,99.35%,12756/12839,83,43.7476
40,Call Reordering,0.2,HYBRID-DGCNN,99.82%,12816/12839,23,22.6873
40,Call Reordering,0.2,HYBRID-GAT,99.56%,12783/12839,56,71.6612
40,Call Reordering,0.2,LSTM,99.42%,12765/12839,74,40.6797
40,Call Reordering,0.2,SGAN,99.79%,12812/12839,27,11.1582
40,Stalling Padding,0.3,CNN,100.00%,12839/12839,0,10.5531
40,Stalling Padding,0.3,DGCNN,100.00%,12839/12839,0,24.1108
40,Stalling Padding,0.3,GAT,99.69%,12799/12839,40,44.6104
40,Stalling Padding,0.3,HYBRID-DGCNN,100.00%,12839/12839,0,23.0338
40,Stalling Padding,0.3,HYBRID-GAT,95.64%,12279/12839,560,72.5464
40,Stalling Padding,0.3,LSTM,98.96%,12705/12839,134,41.2173
40,Stalling Padding,0.3,SGAN,99.89%,12825/12839,14,11.5819
40,Stalling Padding,0.5,CNN,100.00%,12839/12839,0,14.6847
40,Stalling Padding,0.5,DGCNN,100.00%,12839/12839,0,31.6772
40,Stalling Padding,0.5,GAT,99.90%,12826/12839,13,60.9549
40,Stalling Padding,0.5,HYBRID-DGCNN,100.00%,12839/12839,0,30.8907
40,Stalling Padding,0.5,HYBRID-GAT,99.98%,12836/12839,3,102.9599
40,Stalling Padding,0.5,LSTM,99.87%,12822/12839,17,66.4353
40,Stalling Padding,0.5,SGAN,99.92%,12829/12839,10,15.1309
40,Stalling Padding,0.7,CNN,100.00%,12839/12839,0,12.5176
40,Stalling Padding,0.7,DGCNN,100.00%,12839/12839,0,27.4876
40,Stalling Padding,0.7,GAT,100.00%,12839/12839,0,51.6066
40,Stalling Padding,0.7,HYBRID-DGCNN,100.00%,12839/12839,0,27.1894
40,Stalling Padding,0.7,HYBRID-GAT,100.00%,12839/12839,0,88.0748
40,Stalling Padding,0.7,LSTM,99.98%,12836/12839,3,151.0108
40,Stalling Padding,0.7,SGAN,99.88%,12823/12839,16,13.0617
40,Stalling Padding,0.9,CNN,100.00%,12839/12839,0,11.5618
40,Stalling Padding,0.9,DGCNN,100.00%,12839/12839,0,25.8966
40,Stalling Padding,0.9,GAT,100.00%,12839/12839,0,47.9558
40,Stalling Padding,0.9,HYBRID-DGCNN,100.00%,12839/12839,0,25.4991
40,Stalling Padding,0.9,HYBRID-GAT,100.00%,12839/12839,0,79.4625
40,Stalling Padding,0.9,LSTM,100.00%,12839/12839,0,45.5155
40,Stalling Padding,0.9,SGAN,99.84%,12818/12839,21,11.9747
50,Benign Mimicry,0.1,CNN,99.96%,12834/12839,5,10.537
50,Benign Mimicry,0.1,DGCNN,97.91%,12571/12839,268,23.6924
50,Benign Mimicry,0.1,GAT,97.13%,12470/12839,369,44.4148
50,Benign Mimicry,0.1,HYBRID-DGCNN,97.12%,12469/12839,370,23.1908
50,Benign Mimicry,0.1,HYBRID-GAT,97.66%,12539/12839,300,74.7429
50,Benign Mimicry,0.1,LSTM,97.65%,12537/12839,302,41.3469
50,Benign Mimicry,0.1,SGAN,99.81%,12814/12839,25,11.2149
50,Benign Mimicry,0.2,CNN,99.91%,12827/12839,12,11.2409
50,Benign Mimicry,0.2,DGCNN,96.88%,12439/12839,400,24.6674
50,Benign Mimicry,0.2,GAT,94.78%,12169/12839,670,47.4214
50,Benign Mimicry,0.2,HYBRID-DGCNN,95.21%,12224/12839,615,24.5512
50,Benign Mimicry,0.2,HYBRID-GAT,94.61%,12147/12839,692,79.8321
50,Benign Mimicry,0.2,LSTM,92.90%,11928/12839,911,44.7585
50,Benign Mimicry,0.2,SGAN,99.39%,12761/12839,78,11.7916
50,Benign Mimicry,0.3,CNN,99.91%,12827/12839,12,16.6249
50,Benign Mimicry,0.3,DGCNN,95.95%,12319/12839,520,37.0146
50,Benign Mimicry,0.3,GAT,93.29%,11978/12839,861,67.9641
50,Benign Mimicry,0.3,HYBRID-DGCNN,93.81%,12044/12839,795,36.4849
50,Benign Mimicry,0.3,HYBRID-GAT,91.32%,11725/12839,1114,117.1828
